attempt,clean_output_text,elapsed_ms,max_tokens,model,prompt_id,raw_output_text,reference,seed,sentence_id,source,temperature,timeout_s,top_p
0,"Hi, my friend!",2024,128,gpt-4o-mini,baseline,"Hi, my friend!",Hi my friend !,1234,ABC.train.gold.bea19_003063,Hi my friend !,0.0,60,1.0
0,"Hi, my friend!",774,128,gpt-4o-mini,fewshot,"Hi, my friend!",Hi my friend !,1234,ABC.train.gold.bea19_003063,Hi my friend !,0.0,60,1.0
0,"Hi, my friend!",746,128,gpt-4o-mini,instruction,"Hi, my friend!",Hi my friend !,1234,ABC.train.gold.bea19_003063,Hi my friend !,0.0,60,1.0
0,"Hi, my friend!",597,128,gpt-4o-mini,role,"Hi, my friend!",Hi my friend !,1234,ABC.train.gold.bea19_003063,Hi my friend !,0.0,60,1.0
0,"For example, they collect plastic waste in a yellow dustbin, while liquid and solid degradable waste is collected in a red container.",824,128,gpt-4o-mini,baseline,"For example, they collect plastic waste in a yellow dustbin, while liquid and solid degradable waste is collected in a red container.","For example , they collect plastic waste in a yellow dustbin , while liquid and solid , degradable waste goes in a red container .",1234,A.train.gold.bea19_002242,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",0.0,60,1.0
0,"For example, they collect plastic waste in a yellow dustbin, while liquid and solid degradable waste in a red container.",909,128,gpt-4o-mini,fewshot,"For example, they collect plastic waste in a yellow dustbin, while liquid and solid degradable waste in a red container.","For example , they collect plastic waste in a yellow dustbin , while liquid and solid , degradable waste goes in a red container .",1234,A.train.gold.bea19_002242,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",0.0,60,1.0
0,"For example, they collect plastic waste in a yellow dustbin while liquid and solid degradable waste in a red container.",1127,128,gpt-4o-mini,instruction,"For example, they collect plastic waste in a yellow dustbin while liquid and solid degradable waste in a red container.","For example , they collect plastic waste in a yellow dustbin , while liquid and solid , degradable waste goes in a red container .",1234,A.train.gold.bea19_002242,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",0.0,60,1.0
0,"For example, they collect plastic waste in a yellow dustbin, while liquid and solid degradable waste in a red container.",1120,128,gpt-4o-mini,role,"For example, they collect plastic waste in a yellow dustbin, while liquid and solid degradable waste in a red container.","For example , they collect plastic waste in a yellow dustbin , while liquid and solid , degradable waste goes in a red container .",1234,A.train.gold.bea19_002242,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",0.0,60,1.0
0,There are numerous stores and restaurants that have junk food everywhere.,726,128,gpt-4o-mini,baseline,There are numerous stores and restaurants that have junk food everywhere.,There are numerous stores and restaurants which have junk food built everywhere .,1234,ABC.train.gold.bea19_024519,There are numerous stores and restaurants which have junk food built everywhere .,0.0,60,1.0
0,There are numerous stores and restaurants that have junk food built everywhere.,689,128,gpt-4o-mini,fewshot,There are numerous stores and restaurants that have junk food built everywhere.,There are numerous stores and restaurants which have junk food built everywhere .,1234,ABC.train.gold.bea19_024519,There are numerous stores and restaurants which have junk food built everywhere .,0.0,60,1.0
